iter	Passed	Remaining
684	944	434
685	945	432
686	946	431
687	947	429
688	950	428
689	951	427
690	952	425
691	954	424
692	955	423
693	957	421
694	958	420
695	959	419
696	960	417
697	962	416
698	963	414
699	964	413
700	965	411
701	966	410
702	967	408
703	968	407
704	970	406
705	971	404
706	973	403
707	974	401
708	975	400
709	976	398
710	977	397
711	978	395
712	979	394
713	980	392
714	981	391
715	982	389
716	983	388
717	985	387
718	986	385
719	988	384
720	989	382
721	990	381
722	991	379
723	992	378
724	993	376
725	995	375
726	995	374
727	997	372
728	999	371
729	1000	370
730	1002	368
731	1003	367
732	1005	366
733	1006	364
734	1007	363
735	1009	361
736	1010	360
737	1011	359
738	1014	358
739	1015	356
740	1016	355
741	1017	353
742	1018	352
743	1020	351
744	1021	349
745	1022	348
746	1023	346
747	1025	345
748	1026	343
749	1027	342
750	1029	341
751	1030	339
752	1031	338
753	1032	337
754	1034	335
755	1035	334
756	1036	332
757	1037	331
758	1038	329
759	1039	328
760	1040	326
761	1041	325
762	1043	324
763	1044	322
764	1045	321
765	1046	319
766	1047	318
767	1048	316
768	1049	315
769	1051	313
770	1052	312
771	1053	311
772	1054	309
773	1055	308
774	1056	306
775	1058	305
776	1059	304
777	1060	302
778	1061	301
779	1063	299
780	1064	298
781	1065	297
782	1067	295
783	1068	294
784	1070	293
785	1072	292
786	1074	290
787	1075	289
788	1076	287
789	1078	286
790	1079	285
791	1080	283
792	1081	282
793	1082	280
794	1084	279
795	1085	278
796	1086	276
797	1088	275
798	1089	274
799	1090	272
800	1092	271
801	1093	269
802	1094	268
803	1095	266
804	1096	265
805	1097	264
806	1098	262
807	1099	261
808	1100	259
809	1101	258
810	1102	257
811	1104	255
812	1104	254
813	1105	252
814	1106	251
815	1107	249
816	1108	248
817	1109	246
818	1110	245
819	1111	244
820	1112	242
821	1113	241
822	1114	239
823	1115	238
824	1117	237
825	1118	235
826	1119	234
827	1120	232
828	1122	231
829	1123	230
830	1124	228
831	1125	227
832	1126	225
833	1127	224
834	1128	222
835	1129	221
836	1130	220
837	1131	218
838	1132	217
839	1133	215
840	1135	214
841	1136	213
842	1137	211
843	1138	210
844	1139	209
845	1140	207
846	1141	206
847	1142	204
848	1143	203
849	1144	202
850	1145	200
851	1147	199
852	1148	197
853	1149	196
854	1150	195
855	1151	193
856	1152	192
857	1153	190
858	1154	189
859	1155	188
860	1156	186
861	1157	185
862	1158	183
863	1159	182
864	1160	181
865	1162	179
866	1163	178
867	1164	177
868	1165	175
869	1166	174
870	1167	172
871	1168	171
872	1169	170
873	1170	168
874	1171	167
875	1172	166
876	1173	164
877	1174	163
878	1176	161
879	1177	160
880	1178	159
881	1179	157
882	1180	156
883	1182	155
884	1183	153
885	1184	152
886	1185	150
887	1186	149
888	1187	148
889	1188	146
890	1189	145
891	1192	144
892	1193	142
893	1194	141
894	1195	140
895	1196	138
896	1197	137
897	1198	136
898	1199	134
899	1200	133
900	1201	131
901	1202	130
902	1203	129
903	1204	127
904	1205	126
905	1206	125
906	1207	123
907	1208	122
908	1210	121
909	1211	119
910	1212	118
911	1213	117
912	1214	115
913	1215	114
914	1216	112
915	1217	111
916	1218	110
917	1219	108
918	1220	107
919	1222	106
920	1223	104
921	1224	103
922	1225	102
923	1226	100
924	1227	99
925	1228	98
926	1229	96
927	1230	95
928	1231	94
929	1232	92
930	1233	91
931	1234	90
932	1236	88
933	1237	87
934	1238	86
935	1239	84
936	1240	83
937	1242	82
938	1243	80
939	1244	79
940	1245	78
941	1247	76
942	1248	75
943	1249	74
944	1250	72
945	1252	71
946	1253	70
947	1254	68
948	1255	67
949	1256	66
950	1257	64
951	1258	63
952	1259	62
953	1260	60
954	1261	59
955	1262	58
956	1263	56
957	1264	55
958	1265	54
959	1266	52
960	1267	51
961	1269	50
962	1270	48
963	1270	47
964	1272	46
965	1273	44
966	1274	43
967	1275	42
968	1276	40
969	1277	39
970	1278	38
971	1279	36
972	1281	35
973	1282	34
974	1283	32
975	1284	31
976	1285	30
977	1286	28
978	1287	27
979	1288	26
980	1289	24
981	1290	23
982	1291	22
983	1292	21
984	1293	19
985	1294	18
986	1295	17
987	1297	15
988	1298	14
989	1299	13
990	1300	11
991	1301	10
992	1302	9
993	1303	7
994	1304	6
995	1305	5
996	1306	3
997	1307	2
998	1308	1
999	1309	0
